 File has been used for this event: Registered charities M6R - summary.csv
 Type of the imported file: csv
 Revision of the which is used: 4
 Mode of event: Insert
 Total no of records: 66
 Rows handled on each iterations (Based on your server configuration): 1
 File used to import data into: charity (CustomPosts)
[2019-05-29 14:35:17] Message: Duplicate found can not insert this 
[2019-05-29 14:35:18] Message: Duplicate found can not insert this 
[2019-05-29 14:35:19] Message: Duplicate found can not insert this 
[2019-05-29 14:35:20] Message: Duplicate found can not insert this 
[2019-05-29 14:35:21] Message: Duplicate found can not insert this 
[2019-05-29 14:35:22] Message: Duplicate found can not insert this 
[2019-05-29 14:35:22] Message: Duplicate found can not insert this 
[2019-05-29 14:35:23] Message: Duplicate found can not insert this 
[2019-05-29 14:35:24] Message: Duplicate found can not insert this 
[2019-05-29 14:35:24] Message: Duplicate found can not insert this 
[2019-05-29 14:35:25] Message: Duplicate found can not insert this 
[2019-05-29 14:35:26] Message: Duplicate found can not insert this 
[2019-05-29 14:35:29] Message: Duplicate found can not insert this 
[2019-05-29 14:35:30] Message: Duplicate found can not insert this 
[2019-05-29 14:35:32] Message: Duplicate found can not insert this 
[2019-05-29 14:35:33] Message: Duplicate found can not insert this 
[2019-05-29 14:35:34] Message: Duplicate found can not insert this 
[2019-05-29 14:35:36] Message: Duplicate found can not insert this 
[2019-05-29 14:35:37] Message: Duplicate found can not insert this 
[2019-05-29 14:35:37] Message: Duplicate found can not insert this 
[2019-05-29 14:35:38] Message: Duplicate found can not insert this 
[2019-05-29 14:35:39] Message: Duplicate found can not insert this 
[2019-05-29 14:35:40] Message: Duplicate found can not insert this 
[2019-05-29 14:35:41] Message: Duplicate found can not insert this 
[2019-05-29 14:35:42] Message: Duplicate found can not insert this 
[2019-05-29 14:35:43] Message: Duplicate found can not insert this 
[2019-05-29 14:35:44] Message: Duplicate found can not insert this 
[2019-05-29 14:35:45] Message: Duplicate found can not insert this 
[2019-05-29 14:35:46] Message: Duplicate found can not insert this 
[2019-05-29 14:35:47] Message: Duplicate found can not insert this 
[2019-05-29 14:35:48] Message: Duplicate found can not insert this 
[2019-05-29 14:35:49] Message: Duplicate found can not insert this 
[2019-05-29 14:35:50] Message: Duplicate found can not insert this 
[2019-05-29 14:35:51] Message: Duplicate found can not insert this 
[2019-05-29 14:35:52] Message: Duplicate found can not insert this 
[2019-05-29 14:35:52] Message: Duplicate found can not insert this 
[2019-05-29 14:35:53] Message: Duplicate found can not insert this 
[2019-05-29 14:35:54] Message: Duplicate found can not insert this 
[2019-05-29 14:35:55] Message: Duplicate found can not insert this 
[2019-05-29 14:35:57] Message: Duplicate found can not insert this 
[2019-05-29 14:35:58] Message: Duplicate found can not insert this 
[2019-05-29 14:35:58] Message: Duplicate found can not insert this 
[2019-05-29 14:36:00] Message: Duplicate found can not insert this 
